final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
14,content_20ddbdfbbd90,client_3fdba35f04,79.9331055314523,random_forest,0.7946236577606239,0.7641689328472222,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,5541,8,54,11.2,0.14,148,104,1365.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,striking
15,content_b1d593faf9c6,client_3fdba35f04,79.9187716862753,random_forest,0.8199141471776378,0.7086520196394558,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2655,0,92,8.3,0.0,148,104,1333.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_1
16,content_91fefd1726b3,client_3fdba35f04,79.68589733632066,random_forest,0.8331063633334577,0.6726812734421769,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2748,2,22,18.7,0.07,148,104,1516.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
17,content_81e59177b59a,client_19581e27de,79.65051467063687,random_forest,0.7717100145588768,0.80527352780839,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,9239,3,20,5.6,0.03,139,104,4001.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
18,content_73b70737ee63,client_3fdba35f04,79.62085359683388,random_forest,0.8194260105739428,0.7004474105827664,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2060,4,8,2.8,0.19,139,104,1410.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,moderate,top_3
19,content_aa76dcfed6e7,client_3fdba35f04,79.5802151853587,random_forest,0.8346049388799984,0.666130538897959,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2765,1,51,21.1,0.04,165,104,1341.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_3_5
20,content_03475a5923fe,client_3fdba35f04,79.50071765041258,random_forest,0.8148955356719771,0.7065755426411563,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2419,3,27,6.2,0.12,139,104,1205.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_1
21,content_d9eb4a8986e7,client_3fdba35f04,79.49335956552004,random_forest,0.8313125309293321,0.6705980065034014,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3382,4,30,24.5,0.12,165,104,1367.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
22,content_972b37f0c86d,client_19581e27de,79.45183625629856,random_forest,0.7470976775081737,0.8526874173151927,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,27437,19,33,7.2,0.07,139,104,4074.0,down,LOW,keyword article,commercial,91-180,91-180,3500+,good,page_1
23,content_6e098546a7a2,client_19581e27de,79.28183511277886,random_forest,0.7498307418101235,0.8414477200090703,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,10575,14,12,1.9,0.13,124,104,2864.0,down,MEDIUM,keyword article,informational,91-180,91-180,2000-3500,good,top_3
24,content_d086e01b904b,client_3fdba35f04,79.2596053916818,random_forest,0.7944299975892677,0.74363959763322,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3385,6,11,5.1,0.18,139,104,1399.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
25,content_e9b83bea7976,client_3fdba35f04,79.25812251717458,random_forest,0.7468988127062314,0.8470944649778911,high,refresh_and_review_ctr,low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,0,15616,9,93,8.8,0.06,165,104,1316.0,stable,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
26,content_a451a30f3920,client_19581e27de,79.23325430664465,random_forest,0.7555469100647191,0.8274893052664398,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,11926,5,13,4.4,0.04,139,104,4028.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
27,content_3e5ea1d9ee75,client_3fdba35f04,79.12736999121942,random_forest,0.8292514931242135,0.6637009036666666,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2870,0,34,22.1,0.0,124,104,1544.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
28,content_fb372b1383b1,client_3fdba35f04,79.1229839023065,random_forest,0.7995093085119259,0.7283292215714284,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3600,5,40,10.1,0.14,124,104,1580.0,down,LOW,keyword article,commercial,91-180,91-180,1000-2000,good,striking
29,content_b74291f8efd2,client_3fdba35f04,79.0890355643691,random_forest,0.8132194613056982,0.6974187782312924,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3194,2,4,15.9,0.06,124,104,1448.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,striking
30,content_04f9c8cfb061,client_3fdba35f04,79.06160524526834,random_forest,0.8165983424318511,0.6892078396683673,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1914,2,2,3.5,0.1,131,104,1531.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_1
31,content_e23e08154491,client_3fdba35f04,79.0402866907418,random_forest,0.7992095018691046,0.726409542414966,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3029,8,30,6.5,0.26,139,104,1558.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
32,content_184165640010,client_3fdba35f04,79.01160554665184,random_forest,0.8292638614915431,0.6600728058954082,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3967,3,24,29.9,0.08,165,104,1551.0,down,HIGH,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
33,content_5195668f06db,client_19581e27de,78.9688925822503,random_forest,0.7584143071777975,0.8130217527777778,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,6635,0,10,5.2,0.0,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,good,page_1
34,content_e4c789b3ac31,client_3fdba35f04,78.87312252971243,random_forest,0.7774350837150372,0.7686240894183674,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,4066,21,30,2.8,0.52,131,104,1497.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,good,top_3
35,content_964dd0100c99,client_7f2253d7e2,78.84763545694273,random_forest,0.8378347800602746,0.636308566989796,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,41078,38,45,22.2,0.09,141,20,4320.0,down,LOW,keyword article,informational,91-180,0-30,3500+,excellent,page_3_5
36,content_021bc08109a8,client_3fdba35f04,78.81826988086796,random_forest,0.8207066774471174,0.6726921784501134,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1818,2,22,7.1,0.11,310,104,1474.0,down,MEDIUM,keyword article,transactional,181-365,91-180,1000-2000,moderate,page_1
37,content_8db4c406edc0,client_3fdba35f04,78.78696750046375,random_forest,0.7872489622588108,0.7445739042828797,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3424,9,57,5.3,0.26,131,104,1370.0,down,HIGH,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
38,content_5c44b0fda035,client_7f2253d7e2,78.6925636067315,random_forest,0.8470656941424566,0.6113839660204081,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,21928,37,39,24.4,0.17,141,20,3740.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
39,content_6eeb07cca243,client_7f2253d7e2,78.68878206194623,random_forest,0.8518164122236469,0.6009214582380953,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,24516,22,36,26.9,0.09,147,20,4107.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
40,content_750142aace28,client_3fdba35f04,78.6824481073103,random_forest,0.8227794941021206,0.6639534374263037,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3031,2,5,23.6,0.07,174,104,1480.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
41,content_383737c5080d,client_7f2253d7e2,78.68050954097404,random_forest,0.8427469818911095,0.6204131550130385,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,24252,70,89,23.0,0.29,132,20,3923.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
42,content_252c884e4400,client_7f2253d7e2,78.66766784602514,random_forest,0.8280959801380494,0.651916803276644,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,22537,82,88,15.9,0.36,147,20,4096.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
43,content_8021933ea0f8,client_3fdba35f04,78.66532359830383,random_forest,0.8058470919287133,0.700291694994331,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3340,3,21,15.8,0.09,124,104,1605.0,down,HIGH,keyword article,transactional,91-180,91-180,1000-2000,good,striking
44,content_e4a481bafa74,client_19581e27de,78.632448429141,random_forest,0.8158014010289126,0.6775931305839002,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1547,0,4,2.2,0.0,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,moderate,top_3
45,content_e88c269d36d5,client_3fdba35f04,78.60770485405601,random_forest,0.8194528021699827,0.6688723475493197,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2099,1,120,12.4,0.05,144,104,1486.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
46,content_2d6bc8e57b4c,client_3fdba35f04,78.59782095394155,random_forest,0.8071846635163422,0.6952792292993196,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3016,4,23,15.4,0.13,155,104,1349.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,striking
47,content_bd6fe8d9dc9f,client_3fdba35f04,78.54828031352476,random_forest,0.7881907956486595,0.7350980170975057,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3263,8,26,6.4,0.25,139,104,1421.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,good,page_1
48,content_65a668d53c13,client_7f2253d7e2,78.53333384760985,random_forest,0.8233630492094218,0.6580441224869615,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,8305,5,8,2.9,0.06,147,20,3990.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,top_3
49,content_c65ee459f729,client_f369cb89fc,78.48698298151349,random_forest,0.7653417272130951,0.7829459298690477,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,6526,0,16,17.4,0.0,106,106,2898.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,good,striking
50,content_73f3a3c5e203,client_3fdba35f04,78.48290329225551,random_forest,0.8320054066180874,0.6376562760816327,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2104,3,50,21.8,0.14,174,104,1434.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
51,content_b08562686d22,client_f369cb89fc,78.45788289930039,random_forest,0.7702011970100001,0.7714590096428571,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2846,4,5,2.0,0.14,106,106,2900.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,moderate,top_3
52,content_7d6b854fc594,client_3fdba35f04,78.45567627883048,random_forest,0.8225130147851774,0.6574793573137754,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2683,0,5,22.9,0.0,148,104,1284.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
53,content_164dff885baf,client_7f2253d7e2,78.4036446038687,random_forest,0.8422064032798248,0.6129776555260771,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,22949,19,27,23.6,0.08,132,20,4968.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
54,content_433fc1c77095,client_3fdba35f04,78.40345241186705,random_forest,0.7859598939891379,0.7354506295068026,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3177,4,12,5.0,0.13,139,104,1836.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
55,content_69cfaabeda16,client_7f2253d7e2,78.40082630455485,random_forest,0.8363290638683456,0.6256881189484127,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,17695,64,103,19.2,0.36,225,20,4175.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
56,content_e0632fafadc8,client_7f2253d7e2,78.37879390634606,random_forest,0.8460360273146753,0.6038654529047619,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,17565,20,23,24.0,0.11,141,20,3870.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
57,content_9cddb79b32a7,client_3fdba35f04,78.3658844225535,random_forest,0.8332082043421711,0.63139695,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2235,2,8,24.8,0.09,124,104,1586.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_3_5
58,content_46c1b521c941,client_3fdba35f04,78.29091636186656,random_forest,0.8231835491277283,0.6508939413676305,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,4621,1,15,35.2,0.02,124,104,1522.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
59,content_ecd0b428fcae,client_3fdba35f04,78.24441527731484,random_forest,0.8007235804326026,0.6983548515538548,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2114,2,11,4.2,0.09,310,104,1395.0,down,LOW,keyword article,transactional,181-365,91-180,1000-2000,moderate,page_1
60,content_714cd092a56f,client_7f2253d7e2,78.23090467669812,random_forest,0.8265579882529316,0.6416791441964286,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,22127,70,73,17.5,0.32,224,20,4684.0,down,LOW,keyword article,commercial,181-365,0-30,3500+,good,striking
61,content_12913e63df31,client_3fdba35f04,78.20503977009476,random_forest,0.8269013117642733,0.6401269462953514,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1915,1,23,18.2,0.05,174,104,1554.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,striking
62,content_2db43735a69a,client_7f2253d7e2,78.17329532509675,random_forest,0.8037412490465237,0.689571383393424,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,36130,145,126,11.1,0.4,225,20,4109.0,down,LOW,keyword article,informational,181-365,0-30,3500+,excellent,striking
63,content_816431f05a3b,client_3fdba35f04,78.15015249016983,random_forest,0.8489315393612767,0.5904478555555555,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,1922,0,25,33.4,0.0,165,104,1495.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
64,content_4a7f389bfe72,client_3fdba35f04,78.13589720605727,random_forest,0.7972961256832143,0.7024425198367347,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2266,3,6,4.8,0.13,131,104,1516.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_1
65,content_4aaeb527edf7,client_7f2253d7e2,78.09478840022419,random_forest,0.8078345527342945,0.678215886494898,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,22401,69,80,10.0,0.31,224,20,4804.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
66,content_66677b99e328,client_7f2253d7e2,78.08967362858293,random_forest,0.8474014789633654,0.5918982632845804,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,29616,49,48,30.1,0.17,141,20,3808.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
67,content_cbdf5a78dcd0,client_19581e27de,78.07235515632556,random_forest,0.7263607389931853,0.8549304251845238,medium,refresh_and_review_ctr,low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,0,14830,3,4,2.4,0.02,126,104,3187.0,up,LOW,keyword article,transactional,91-180,91-180,2000-3500,good,top_3
68,content_792d2e64b2e3,client_7f2253d7e2,78.04887431633162,random_forest,0.8315055786412163,0.6252430293367347,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,22080,4,4,21.6,0.02,141,20,3743.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
69,content_3a3391080e53,client_7f2253d7e2,78.0288982346476,random_forest,0.790771224165349,0.7133222541309524,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,28404,48,55,4.5,0.17,224,20,4676.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,page_1
70,content_875fc7912e9b,client_7f2253d7e2,77.99555422885001,random_forest,0.8156458341336364,0.6581195722301588,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,21533,102,86,14.6,0.47,224,20,3709.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
71,content_18d83d6ef368,client_7f2253d7e2,77.99167299881948,random_forest,0.7505733849935176,0.799696614622449,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,8864,20,25,20.0,0.23,106,106,2546.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,good,page_3_5
72,content_a0404909ecca,client_3fdba35f04,77.98557315464346,random_forest,0.8418952979622406,0.6006498597732426,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1115,0,19,14.1,0.0,131,104,1640.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,moderate,striking
73,content_fab24ca59480,client_7f2253d7e2,77.9103528427501,random_forest,0.7932100347708189,0.7043239755357144,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,22491,81,72,5.2,0.36,224,20,3942.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,page_1
74,content_e8a21e0ca537,client_7f2253d7e2,77.88637692550098,random_forest,0.8116316674944751,0.6634643211870749,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,27812,77,77,14.9,0.28,147,20,4029.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
75,content_f48309254bb6,client_19581e27de,77.88143030775313,random_forest,0.7223883451917711,0.8576412343673468,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,21363,19,23,4.9,0.09,139,104,3590.0,down,LOW,keyword article,transactional,91-180,91-180,3500+,good,page_1
76,content_c1f7f47a401b,client_19581e27de,77.88023189642463,random_forest,0.7762420648798635,0.7403353939625851,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2731,1,2,2.2,0.04,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,moderate,top_3
77,content_9b28cf5ae4f3,client_f369cb89fc,77.83984359882902,random_forest,0.7871885496745518,0.7152426124297051,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1620,1,6,1.1,0.06,106,106,2869.0,down,LOW,keyword article,transactional,91-180,91-180,2000-3500,moderate,top_3
